"hanzi","pinyin","english_definition"
"𩅍","maan6",
"瑊","zam1",
"𣰦","rán,gān",
"𥭘","chī",
"蚼","ngau1",
"靠","kaau3",
"𥖍","là",
"𪉂","wan6",
"㫑","zi2",
"𲂆","xiá",
"䇼","yì",
"共","gung6",
"鋡","ham4",
"𬶇","gaai3",
"騌","zung1",
"𱊦","ji3",
"蠠","man5",
"斯","si1",
"𧈿","wǎng",
"琾","gaai3",
"凕","ming5",
"𧰵","duk1",
"趓","do2",
"䯒","hang4",
"㥵","wan6",
"禩","zi6",
"蛒","gaak3",
"撡","cou1",
"重","cung5",
"僕","buk6",
"狰","zang1",
"悧","lei4",
"𥎊","kan4",
"棒","paang5",
"豅","lung4",
"𩮄","xiū",
"𢺵","qì,qǐ",
"𦣺","bái",
"䂢","dung2",
"𦞈","hóu",
"㲘","keoi4",
"𤲩","yán",
"覸","gaan3",
"𢽢","mào",
"薶","maai4",
"摍","suk1",
"殈","gwik1",
"𪨶","se4",
"燜","mun6",
"律","leot6",
"枆","mou4",
"疵","ci1",
"𧋚","tóng",
"謱","lau4",
"𦋣","hàn",
"睻","hyun1",
"冗","jung2",
"𧿗","dǔn",
"䮺","zai1",
"挿","caap3",
"𢭂","láo",
"皦","giu2",
"𤪆","xiá",
"弽","sip3",
"𦪙","tà",
"𤟉","àn",
"䑘","co4",
"䪬","bó",
"鐽","daat6",
"𣒻","shòu",
"鱨","soeng4",
"𫠂","ling4",
"𢷗","zhòu",
"顮","ban1",
"畁","bei2",
"𥚃","leoi5",
"𤷇","wak6",
"懳","wai6",
"樞","syu1",
"𰳻","daat6",
"帩","ciu3",
"㕑","cyu4",
"𧳻","zhǎo",
"𩫳","xiāo",
"䵢","mui6",
"𤸆","wěi",
"蠮","jit3",
"錩","coeng1",
"瑌","jyun5",
"𦝡","jim1",
"𦃡","pó,tāo",
"㭟","gung2",
"㫃","jin2",
"𡷿","zhuó",
"䇾","yán",
"傫","leoi5",
"鋛","kong3",
"騆","zau1",
"𠯴","biàn",
"𨇝","chǎn",
"𣣌","zì,sì",
"蠒","gaan2",
"斩","zaam2",
"琸","zoek3",
"切","cit3",
"𧊭","yīn",
"𨵪","xié",
"𢓲","wú,hú",
"趍","ceoi1",
"𥖨","zào",
"㵍","mèn",
"禫","taam5",
"䆪","hung1",
"撛","leon5",
"醿","mei4",
"駺","long4",
"悙","hang1",
"棔","fan1",
"𩝨","huā",
"𰲁","teoi4",
"谿","kai1",
"㝩","hoi1",
"𧱻","mì",
"𦺖","jú",
"䂜","bàng",
"𣄺","wéi",
"㲚","saa1",
"𧨩","tiǎn",
"𰥒","cung1",
"覺","gok3",
"𦍋","me1",
"𱌏","wan4",
"薰","fan1",
"摏","zung1",
"歺","aat3",
"燎","liu4",
"待","doi6",
"𫛣","wat6",
"柀","bei2",
"謣","jyu4",
"佱","faat3",
"𰦿","to4",
"㾀","hip3",
"閅","mun4",
"橬","cim4",
"䬠","fei1",
"𨥂","jié",
"強","koeng4",
"𢫕","wing1",
"謕","tai4",
"𠹕","bào",
"𩗲","zhēng",
"䑚","tim4",
"䪮","chǒu",
"鐷","jip6",
"𢰍","ān",
"鱢","sou1",
"兼","gim1",
"䔟","yí",
"顠","piu5",
"汉","hon3",
"𤘲","zhuàng",
"𰦦","lik6",
"𦸐","lù",
"戭","jan5",
"橘","gwat1",
"𨶗","làng",
"㬐","zeon3",
"師","si1",
"𣣋","líng",
"𤣑","xié",
"䵔","dung2",
"𠵹","gāng",
"𦐨","cǐ",
"䌆","guì",
"䥚","co1",
"錛","ban1",
"𡨄","xià,sāi",
"璆","kau4",
"𥓃","lì",
"𥃨","bǔ",
"𩒧","xū",
"𢖤","tái",
"靌","bou2",
"㪽","so2",
"䇸","cing4",
"傭","jung4",
"鋍","but6",
"騈","pin4",
"𩖉","hōng",
"𡣽","yán",
"𱛽","duàn",
"𧥕","zī",
"蠌","zaak6",
"斫","zoek3",
"𦺨","xiàng",
"琪","kei4",
"刁","diu1",
"𰇼","saam1",
"𦴊","yāng",
"赿","ci4",
"𣈴","miu4",
"𪁥","jù",
"𬘡","jan1",
"㦱","ngo5",
"禥","kei4",
"䇜","qiǎn,qiàn",
"撝","fai1",
"泈","zung1",
"駴","haai5",
"悓","jin5",
"棎","sim4",
"豱","wan1",
"𢮇","měi",
"𨅏","laam3",
"䂎","zyun2",
"𨓈","kut3",
"𥽥","huò",
"㒙","min4",
"㲔","sin1",
"𥫖","xiāng",
"覴","dang1",
"薲","pan4",
"掉","diu6",
"殴","au2",
"爈","leoi4",
"徇","seon1",
"枲","saai2",
"𨴰","chù",
"謝","ze6",
"隟","gwik1",
"𰲫","mou4",
"㽺","gap1",
"挻","saan1",
"橦","tung4",
"𤍠","jit6",
"弹","daan6",
"𠷐","jìng,jiàng",
"謏","siu2",
"𣧂","laai5",
"𰷞","tik1",
"䑔","fai3",
"㳴","mat6",
"鐩","seoi6",
"鱤","gam2",
"𦸷","sī",
"𣵾","gwai1",
"𧎙","jiǎo",
"𤿋","què",
"𥌟","yí",
"戟","gik1",
"橚","suk1",
"帥","seoi3",
"𣻎","kòu",
"䵎","teon1",
"𡠙","tōng",
"䌸","gyun3",
"𮴗","jiu4",
"伮","nou5",
"錕","kwan1",
"瑸","ban1",
"𣖬","jué",
"崗","gong1",
"𱀑","zat1",
"靎","kam4",
"𩝾","xiǎng",
"㪿","zit3",
"䇪","ci1",
"傧","ban3",
"錇","pui4",
"騂","sing1",
"𩩔","zhuó",
"𥋚","miè",
"陀","to4",
"𩶛","gaa1",
"𨚳","huāng",
"蠎","mong5",
"日","jat6",
"𣯀","mào",
"糔","sau1",
"獤","deon1",
"刃","jan6",
"鮛","suk1",
"𦘒","nip6",
"躗","wai6",
"赹","king4",
"𱅬","jin3",
"㦫","zaat3",
"𦛠","niè",
"䇖","wan5",
"傋","jiǎng,gòu",
"𧅰","hù",
"泂","gwing2",
"猖","coeng1",
"悕","hei1",
"检","gim2",
"豫","jyu6",
"𪋺","nòu",
"𱇺","gwai3",
"䂈","tung4",
"𥣋","shǔ",
"㒛","diào",
"𦪘","jué",
"㳆","tǒu",
"𫰛","jing4",
"覦","jyu4",
"𠃊","yǐn",
"𪕈","mí",
"薬","KUSURI",
"捻","nip6",
"𱵁","shěn",
"殶","zyu3",
"爊","ou1",
"征","zing1",
"枬","zin1",
"𠋥","mei4",
"𣊶","biē",
"謟","tou1",
"𠩺","lei4",
"𧞝","jiē",
"𨘾","chí",
"𦒈","si1",
"䫨","ào",
"挭","gaang3",
"橨","fan4",
"𩑝","áng",
"𣭀","bào",
"彳","cik1",
"𤎋","cuì",
"謑","hai5",
"𩦋","qí",
"䑆","yǎng",
"𡵒","jié,qǐ",
"䪚","dā,tà",
"鑣","biu1",
"鱞","gwaan1",
"㵏","cuǐ",
"笚","daap3",
"戙","dung6",
"𡩚","jiā,zhuàn",
"橔","deon1",
"帗","fat1",
"𧡦","kuí",
"䵐","chǎn",
"䌲","fan1",
"估","gu2",
"烫","tong3",
"瑲","coeng1",
"崉","daap6",
"𮹌","wan1",
"靈","ling4",
"𠚉","bū",
"𧌋","xiè",
"㪹","lǒu",
"䇤","ruì",
"備","bei6",
"𥵠","gǔ",
"錉","man4",
"騃","ngoi4",
"騴","aan3",
"𬞕","laan4",
"𣟐","tiáo",
"𩌑","yuǎn",
"阺","dai2",
"𥮍","yín",
"𡮦","cáo",
"蔘","sam1",
"蠈","caak3",
"𧏃","xié",
"𨐶","huò",
"獦","got3",
"函","haam4",
"𤘤","pì",
"赻","sin2",
"𠺖","mǔ",
"㦝","miǎo",
"蛺","gaap3",
"撉","dan3",
"𩢯","huāng",
"醵","geoi6",
"猘","zai3",
"惏","lam4",
"𥏈","chóu",
"𣝅","ài",
"𧴗","yōng",
"豭","gaa1",
"𦭒","zing3",
"僙","gwong1",
"㢏","tau4",
"𩴉","yùn",
"䂊","yù",
"𤷢","jù",
"㒕","yāng",
"𦾻","yǐn",
"㳀","gwo3",
"𤾚","jit6",
"𧣼","hú",
"𦟓","tún",
"覠","gwan1",
"藞","laa5",
"捵","tin2",
"殰","duk6",
"爄","lai6",
"𪇄","kòu,kū",
"𠲷","dié",
"枮","cim1",
"𦰪","qiú",
"𡤜","ji3",
"譙","ciu4",
"酋","jau4",
"㽶","gei2",
"捧","pung2",
"疹","can2",
"橢","to5",
"彥","jin6",
"睏","kwan3",
"暠","gou2",
"𱈁","saan1",
"𫚞","lei4",
"謋","waak6",
"𱊛","zeon2",
"䑀","pik1",
"䪔","bou2",
"鑥","lou5",
"𢯋","fǔ",
"𨐳","zuò",
"𪑕","hǔn",
"长","coeng4",
"戛","gaat3",
"痂","gaa1",
"幑","fai1",
"䌴","luò",
"𨨕","saam1",
"伪","ngai6",
"热","jit6",
"绑","bong2",
"㤺","huǎng",
"崃","loi4",
"䞇","zi3",
"靺","mut6",
"垓","goi1",
"㬀","hoeng2",
"䇦","ǎng,yīng",
"傓","sin3",
"𦡺","yǐng",
"錃","bei1",
"籸","san1",
"騮","lau4",
"𣉩","yà",
"阬","haang1",
"𢊚","xǐ",
"𬬹","san4",
"蜺","ngai4",
"𩏗","juǎn",
"𪍤","mò",
"獠","liu4",
"凯","hoi2",
"𠥕","è",
"𩇏","jiān",
"邧","jyun4",
"𩠇","seon3",
"㦗","jīn,jìn",
"㳶","nǒu,rǔ",
"傇","jung5",
"釧","cyun3",
"猒","jim3",
"惁","sik1",
"𧒝","zhān",
"宀","min4",
"躎","nin2",
"豧","fu1",
"㢉","caa4",
"𫔉","jing1",
"䃄","ging1",
"俩","loeng5",
"㒇","mou5",
"㳂","jyun4",
"𧍢","yán,yǐn",
"𣜢","luǒ",
"覢","sim2",
"𠖎","zeot1",
"藘","leoi4",
"捷","zit6",
"𧖉","zhǎn",
"殢","tai3",
"燶","nung1",
"徭","jiu4",
"枨","caang4",
"𤄙","siu1",
"譋","laan4",
"𥍚","biàn",
"𩤺","yú",
"𣁭","jiū",
"㽨","cuó",
"捩","lit6",
"𡐤","kit3",
"檔","dong3",
"𢅖","lim4",
"胈","bat6",
"彟","wok6",
"暚","jiu4",
"諽","gaak3",
"裈","gwan1",
"𩮴","suī,cuǐ",
"鴰","kut3",
"䑂","jaai5",
"擫","jip3",
"鑟","duk6",
"𪍺","huán,huàn",
"𣨅","lèi",
"𰗓","fong2",
"𣮰","dé",
"𱊱","dik6",
"戕","coeng4",
"拢","lung5",
"橀","hei1",
"𨜗","zōu",
"幓","saam1",
"𨩧","dōng",
"䌮","soeng1",
"伜","ceoi3",
"烧","siu1",
"瑮","leot6",
"崅","gok3",
"𦾛","wěi",
"靴","hoe1",
"𦱱","jiū",
"䈠","wun6",
"傕","gok3",
"䡴","cung1",
"鋵","tuk1",
"騰","tang4",
"𧲴","dōng",
"𣩑","zuì",
"阦","joeng4",
"蜴","jik6",
"𥃫","zhī",
"𩱌","yù",
"獒","ngou4",
"鵕","zeon3",
"𥭭","cuō",
"𨵡","pì",
"𦌗","jì",
"鷩","bai3",
"㦙","jyu4",
"鍠","wong4",
"䇄","hat1",
"傁","sau2",
"𣑲","pui3",
"釡","fu2",
"獄","juk6",
"悻","hang6",
"𨄄","luán",
"𥬮","jiāng",
"𤠌","chái",
"豙","ngai6",
"𨚼","juk1",
"𥬀","wan4",
"𥹌","jiā",
"㼧","tung4",
"䂶","gip3",
"𩓅","hōng",
"㒁","yǔ",
"𡻝","cháo",
"㲼","yì,chà",
"𢈝","qiú",
"𧅲","yòu",
"納","naap6",
"𪌧","jié",
"𧑏","zuk1",
"藚","zuk6",
"捱","ngaai4",
"殜","jip6",
"𣀳","nip6",
"燰","wui1",
"徯","hai4",
"柚","jau2",
"𫞝","kyut3",
"譅","sap1",
"𫔅","sok3",
"𪋆","kūn",
"䫞","qiāo,fén",
"捣","dou2",
"檎","kam4",
"𡉸","shì",
"胂","san6",
"彡","saam1",
"暌","kwai4",
"訷","san1",
"𪕔","ěr",
"𩣻","ǎo",
"𫗦","bou1",
"䫐","lín",
"鑑","gaam3",
"𦒴","lǎo",
"𡅘","là",
"𢧱","jiāo",
"仲","zung6",
"扇","sin3",
"䰹","caak6",
"橂","din6",
"幍","tou1",
"𫫄","ngaap3",
"碶","kai3",
"𤅀","jing4",
"𮀤","lou4",
"䌠","jiān",
"𣫋","guk1",
"伖","tong2",
"烙","lok3",
"𠳇","hé",
"璠","faan4",
"𤝭","cǎi",
"𣂮","dōu,tóu",
"峿","jyu5",
"靶","baa2",
"𥋡","táng",
"𧯴","lam4",
"䈒","nǎn,lǎn",
"像","zoeng6",
"䡦","song2",
"鋯","gou3",
"𠘪","shǐ",
"騪","sau1",
"𨙎","tà",
"𠩘","xiá",
"阨","ak1",
"𨻗","dié",
"𡂡","shù",
"蜶","seot1",
"𣸇","biàn",
"挄","kwok3",
"𦏅","jué",
"𢣎","tuǎn",
"獌","maan6",
"𣱽","zhěn",
"𩑘","zhèn",
"𬤩","ngaai6",
"𪖞","pì",
"𤀼","luk6",
"㧓","gwaa1",
"蛨","mak6",
"撿","gim2",
"釣","diu3",
"𣹒","mǐn",
"餎","lok3",
"悽","cai1",
"𧏫","shà",
"𥆝","suō",
"𮸮","kit3",
"貓","maau1",
"䝠","huán",
"𡡻","mei4",
"㢅","lung6",
"袑","siu6",
"䂰","laap6",
"㒃","èr",
"㲮","taap3",
"𰎏","dung3",
"𬘘","daam1",
"𱉚","tit3",
"𣇫","wǒ",
"藔","liu4",
"掣","zai3",
"殞","wan5",
"燲","hip3",
"復","fuk6",
"柔","jau4",
"譇","zaa1",
"𥉄","huá",
"馪","pan1",
"㾤","hong1",
"捕","bou6",
"檐","jim4",
"胄","zau6",
"彛","ji4",
"暆","ji4",
"訹","seot1",
"𠮭","bó",
"𨇦","chàn",
"𤂼","yào",
"䫂","duǒ",
"鑋","hing1",
"𩎳","juān",
"邡","fong1",
"扁","bin2",
"䰻","yú",
"疨","xiā,yá",
"𪈘","hōng",
"𢯺","jǔ",
"帿","hau4",
"蹘","laau4",
"𣽁","zung1",
"𠞙","lí",
"䍚","long6",
"䆷","xuè",
"䦮","ceon2",
"錿","fu2",
"𢖄","chóng",
"璚","king4",
"𠨊","jué",
"崱","zak1",
"𦈠","jan5",
"靰","wu1",
"𩕆","hǒng",
"𡑘","zhì",
"䈌","qū",
"僁","sit3",
"䡠","hang1",
"鋱","tik1",
"騜","wong4",
"𡏼","áo",
"院","jyun2",
"𧂨","dì",
"𡯒","ruǐ",
"𣦠","chú",
"蜰","fei4",
"𤃺","xún",
"獎","zoeng2",
"𧕎","qú",
"𠰇","jīn",
"㧅","muk6",
"𠙎","shū",
"䄀","wo6",
"侭","zeon2",
"𣼞","yán",
"針","zam1",
"𡢚","màn",
"餈","ci4",
"悷","lai6",
"貕","hai4",
"𨂐","leoi1",
"㡷","bun2",
"袋","doi6",
"䂲","faat3",
"㒽","hyun1",
"𡄢","shē",
"㳨","zaat3",
"𢲸","lou1",
"𢬶","jìn",
"𧿻","jú",
"𦷻","sǎn",
"藆","gin2",
"掝","waak6",
"毘","pei4",
"鞭","bin1",
"爬","paa4",
"徛","gei6",
"柖","siu4",
"𩮀","zōng,zǒng,sōng",
"譁","waa1",
"多","do1",
"𫘝","kyut3",
"㾞","yóu",
"捏","nip6",
"𦽬","jiū",
"檊","gon1",
"肾","san5",
"庍","baai3",
"暈","wan4",
"𧾐","jiào",
"訳","jik6",
"𤈛","gwong1",
"𠱧","zhòng",
"䪼","zhuō",
"鑍","jing1",
"𩖌","chān",
"齆","ung3",
"𬨓","caau4",
"𨙮","fán",
"𧛚","wēi",
"𪴙","cyun4",
"𢽗","zhǐ",
"扃","gwing1",
"䰵","zī",
"楮","cyu5",
"𨡏","tiǎn",
"帹","saap3",
"𨆰","tà,dà",
"𩬙","fù,fū",
"託","tok3",
"𩏐","guì,wěi",
"䍜","zaau3",
"鴹","joeng4",
"䦰","gau1",
"烕","mit6",
"㲳","dit6",
"璜","wong4",
"崫","fat1",
"面","min6",
"𠤊","qióng",
"𨺝","zhuó",
"𤝧","bào",
"𨘄","zǎn",
"𮣵","zyut3",
"䈎","jip6",
"傻","so4",
"䡢","biàn",
"鈫","man4",
"驖","tit3",
"𠀊","cāo",
"陔","goi1",
"粌","baak3",
"𦌕","lù",
"玈","lou4",
"缚","bok3",
"鮝","soeng2",
"齛","sit3",
"𩗒","bó",
"𡜦","wai3",
"㦿","qiǎn,hù",
"𩍨","guì",
"蜔","tin4",
"侯","hau4",
"量","loeng4",
"猺","jiu4",
"惩","cing4",
"𩷹","zhuó",
"𦏮","quán",
"貏","bei2",
"𩮜","tì",
"㾐","lai6",
"袍","pou4",
"䂬","gung2",
"𨘞","xiàn",
"㒯","jip6",
"𨁇","tùn",
"㳪","pei3",
"𣚭","guk1",
"𦞢","hùn",
"蘀","tok3",
"掟","deng3",
"毊","hiu1",
"爞","chóng,tóng",
"徕","loi4",
"某","mau5",
"譳","nau6",
"㼑","lin6",
"𠡂","bì,fú",
"𧬅","zhā",
"蒲","pou4",
"捑","zik6",
"𩾿","fù",
"橼","jyun4",
"肰","jin4",
"庇","bei3",
"𩻱","jǐng",
"曂","wong6",
"訥","neot6",
"𰸐","saai2",
"𧰧","SHUU",
"㺂","yán,gǎn",
"钇","jyut6",
"𤣰","bou2",
"𠛆","wū",
"𪫺","cim1",
"𧲀","qiān",
"戽","fu3",
"楨","zing1",
"帻","zik1",
"𡟭","chái",
"𩕖","xuān",
"訑","ji4",
"𥒛","zhèng",
"𲎈","méng",
"䍖","fú",
"𣙥","goi3",
"䦪","ngaat6",
"焏","gik1",
"璖","keoi4",
"崭","zaam2",
"𬢎","dou2",
"𡭾","nǒu",
"𪆂","qú",
"𫗪","wai3",
"䈈","fei4",
"傽","zoeng1",
"䡜","luk6",
"鈝","jam4",
"𤡮","rán",
"驘","leoi4",
"陎","syu4",
"𩄘","wěng",
"蝜","fu6",
"丰","fung1",
"𣆗","chā",
"獺","caat3",
"𬘩","ting1",
"尙","soeng6",
"鯕","kei4",
"𧢜","fán",
"𦅵","suì",
"㧁","heoi3",
"蜎","jyun1",
"侩","kui2",
"鈉","naap6",
"餄","gaap3",
"惣","zung2",
"镂","lau6",
"貁","jau6",
"𡬄","jì",
"㢳","lou4",
"袇","jim4",
"䃞","suk6",
"䡬","maan6",
"㒩","lo2",
"㳤","suk6",
"𦱌","gāng",
"𠨎","zhuàn",
"䇁","si1",
"蘂","jeoi5",
"掙","zang1",
"毄","gik1",
"爘","caan1",
"得","dak1",
"船","syun4",
"譭","wai2",
"外","ngoi6",
"蔇","gei3",
"𤭜","lí",
"𪄹","cháng",
"蒴","sok3",
"抋","cam3",
"檶","him1",
"胪","lou4",
"庉","dùn,tún",
"馶","zi1",
"暴","bou6",
"訟","zung6",
"𠱑","dōu",
"𦜴","tún",
"㹼","guk1",
"𣡾","hū",
"𤟾","tí",
"𥟓","kuǎn",
"𮸐","fong1",
"𤘺","rǒng",
"戯","hei3",
"楪","dip6",
"𧜅","jiè",
"幵","hin1",
"𣲲","hé",
"𠡳","min5",
"訓","fan3",
"𣱐","yìn,zhì",
"䍈","ping4",
"𢦂","laan2",
"䦜","ng4",
"鍥","kit3",
"𤉋","zing1",
"璈","ngou4",
"𠴸","bò",
"崧","sung1",
"𠋞","shé",
"䦓","zaam1",
"𢅝","diàn",
"𠈭","láo",
"𠺘","long2",
"䈺","zung1",
"傷","soeng1",
"鈗","wan5",
"樘","tong4",
"驒","to4",
"䜺","caak3",
"限","haan6",
"𢒒","fú",
"𧖵","mǎn",
"串","cyun3",
"濭","oi3",
"𤮨","lung4",
"獴","mung4",
"𨊔","lán",
"𡄻","ji3",
"尋","cam4",
"𣛚","ruǐ",
"𫭲","ngaam4",
"㦻","zaap6",
"蜐","gip3",
"供","gung1",
"𬣡","zin3",
"鈋","ngo4",
"紉","jan6",
"牦","mou4",
"惥","jung2",
"𪤚","leon4",
"𤓿","liè",
"锼","sau1",
"豻","ngon6",
"䶭","wong1",
"𡣋","piāo",
"㢭","tou1",
"䃘","hang1",
"侍","si6",
"㒫","gei3",
"㳖","yī",
"𨢜","què",
"鵃","zau1",
"藼","hyun1",
"掋","dai2",
"𩽵","lǐ",
"毆","au2",
"𨐐","yǐn",
"㻑","jì",
"忑","tik1",
"𩹲","bo1",
"譯","jik6",
"夈","zaai1",
"𤪕","mou5",
"㞑","mei5",
"㾌","sin2",
"扽","dan3",
"檸","ning4",
"𣢷","yī",
"胬","nou5",
"広","gwong2",
"𧖻","guó",
"暮","mou6",
"馮","fung4",
"𧒜","léi",
"訡","jam4",
"𦵏","zong3",
"𤩝","kiu4",
"𪺷","cong1",
"䧪","cip3",
"䌧","cau4",
"𫁟","zyun2",
"𪡋","jim2",
"鮧","ji4",
"𧑑","běng",
"𢰒","jí",
"𠲔","yī",
"𥯗","seon2",
"𡤛","zhuǎn",
"𦯍","zhè",
"𰾢","se4",
"扩","kwong3",
"楤","sung2",
"𣴪","pài,pì",
"幧","ciu1",
"斢","tau3",
"𫟶","saan3",
"𪩘","jin2",
"訍","caai3",
"䍂","yú",
"𱆆","mun4",
"䦖","kit3",
"烻","jin3",
"瓂","koi3",
"𣗎","cyun4",
"崙","leon4",
"𩅢","hé",
"𣾀","wui6",
"䈴","him3",
"僩","haan5",
"䢈","chén,huì",
"鈙","kam4",
"驄","cung1",
"𢍏","juàn",
"𨙷","jǐng",
"栳","lou5",
"陊","do6",
"𠝲","kǎn",
"丬","baan6",
"濯","zok6",
"獶","nǎo,yōu,náo",
"尅","hak1",
"𣃾","yàn",
"𤲗","rǎn",
"䃨","koeng4",
"侕","ji4",
"𠫃","jué",
"鈅","jyut6",
"𬸜","pin1",
"牨","gong1",
"惟","wai4",
"𩷵","tūn",
"𫄮","ting1",
"键","gin6",
"豽","neot6",
"䳧","hóu",
"㢟","chān",
"𤳤","qī",
"䃚","zuk6",
"侇","ji4",
"㒥","fung1",
"㳐","zhá",
"𤪎","yǒu",
"𦐁","chí",
"𬙆","faan4",
"𡢒","jǔ",
"𫦌","zyut6",
"𪆁","sī",
"藮","ciu4",
"揅","jin4",
"毀","wai2",
"𨔡","dùn,tún,chuàn,chuán",
"爔","hei1",
"心","sam1",
"较","gaau3",
"𨴴","bing1",
"譩","ji1",
"夂","zi2",
"㞋","nin2",
"𦇲","sī,chī",
"蓠","lei4",
"扷","ou3",
"𧌖","xiè,shè",
"檲","tyun4",
"胦","joeng1",
"𡠆","kòu",
"暰","cung1",
"詛","zo3",
"𧺴","wǔ",
"𠓭","lǎn",
"𠉗","luò",
"㹸","ní",
"𡤫","qiā",
"𣵞","tǔn",
"𠲺","yì",
"𮷊","bo3",
"𣦖","gān",
"扫","sou3",
"榖","guk1",
"翊","jik6",
"狳","jyu4",
"𨵆","qì",
"斜","ce4",
"𦌵","leoi4",
"觿","kwai4",
"魔","mo1",
"䍄","dim2",
"𨳗","zhōng",
"䦘","haan6",
"烽","fung1",
"瓄","duk6",
"𬏮","gwo1",
"𥔫","sǎng",
"嵓","ngaam4",
"鵍","fun1",
"𦁈","hung3",
"𭎜","dou2",
"䈶","róng",
"僣","tiě,jiàn",
"䢊","yóu",
"鈓","jam5",
"𡶶","gong3",
"騾","leoi4",
"𨽹","yì,lì",
"𤓕","zhì",
"𪒇","mò",
"𠭰","lí",
"陼","zyu2",
"丞","sing4",
"濩","wok6",
"獰","ning4",
"𨠋","gū",
"將","zoeng1",
"𢣷","dik6",
"𨦱","cōng",
"𩐨","pāng",
"缞","ceoi1",
"蘼","mei4",
"侗","tung4",
"䝶","loeng4",
"釷","tou2",
"肴","ngaau4",
"牢","lou4",
"惑","waak6",
"锨","him1",
"鮯","gap3",
"𮭢","jiu1",
"䳩","yāo",
"㢙","kan4",
"䃔","hung4",
"侉","kwaa2",
"㓗","git3",
"𥕻","wú,wǔ",
"㳒","faat3",
"𦊦","fú",
"𢷿","jié",
"𠔍","xī",
"𦛐","nà",
"𤾉","tǎng",
"藨","biu1",
"揇","naam4",
"𢶑","niǎo",
"牆","coeng4",
"徽","fai1",
"𤬯","hán,qiàn",
"䦍","ngat6",
"譛","zam3",
"处","cyu3",
"㞍","jyun4",
"㾸","gou2",
"批","pai1",
"𠣄","chān",
"檤","dou6",
"㮾","long5",
"庯","bou1",
"暪","mun5",
"𦲀","ji4",
"詍","jai6",
"䤒","gei6",
"㹪","saan1",
"𩨴","yǎo",
"𪉪","cì",
"㪰","zaai1",
"𱠸","jyun1",
"𦼊","léng",
"扥","dan3",
"榐","zin2",
"𡶤","bēng,yòng",
"翄","ci3",
"幣","bai6",
"𩣹","qū",
"斎","zaai1",
"𡘍","huán,qié",
"褹","ngai6",
"䧒","loi4",
"鍓","cip3",
"璾","zai6",
"𨴣","yàn",
"嵕","zung1",
"𠖟","yīn",
"𨎳","péng",
"鵅","lok6",
"𠬛","mong4",
"䈰","shāo",
"僥","hiu1",
"䢄","saai2",
"鉅","geoi6",
"𣺀","wǔ",
"驀","mak6",
"𡣺","wai6",
"陶","tou4",
"𦸺","zuī",
"𱋗","fu1",
"丘","jau1",
"濛","mung4",
"玢","ban1",
"䨌","bok6",
"封","fung1",
"𦁟","chēn,chén,zhěn",
"𥘮","jū",
"䄔","geoi2",
"䌡","tai2",
"䝨","xián",
"釱","dai6",
"𡼚","xiāo",
"餬","wu4",
"㔏","lik6",
"𤷀","wāng",
"𡨭","cung4",
"锪","huō",
"𠼗","zaam2",
"䳣","yuán",
"𦑱","zhái,huò",
"㢛","yàn,qiān",
"䃆","kei4",
"侃","hon2",
"𤳝","chóu",
"㓑","xìng",
"㰌","kok3",
"𢩸","hài",
"𪖎","chán",
"鬦","dau3",
"𣧜","pā",
"𨥞","qián",
"藪","sau2",
"揁","zing1",
"𤀦","là",
"𠍲","qú",
"牀","cong4",
"徿","lung6",
"蓙","zo6",
"苢","ji5",
"讕","laan4",
"㞇","wěi",
"螓","ceon4",
"蓜","pui3",
"扳","paan1",
"檞","gaai2",
"胒","nei6",
"庱","cing2",
"曜","jiu6",
"詇","joeng3",
"䧠","zyun1",
"𥷮","zhuó,zhāo",
"㪢","saau2",
"𦩏","jīn,wéi",
"𤪌","kei4",
"䫳","duk6",
"𡕉","āng",
"菈","laap6",
"扗","zoi6",
"榒","nik1",
"翆","ceoi3",
"幝","cin2",
"斈","hok6",
"𰲠","zaan6",
"𥚚","chǐ",
"褻","sit3",
"泩","sang1",
"𩠏","chēng",
"䧄","gok3",
"焩","pang4",
"環","waan4",
"𢘝","nǐ",
"嵏","zung1",
"𱂲","soi1",
"𩢒","yǎo",
"𢗀","xīn",
"𩂻","chè",
"䈢","soi2",
"僟","gei1",
"䡶","bèi",
"䥗","fun2",
"驺","zau1",
"𤺾","ào",
"𨴞","niǎn",
"𦾫","gǔ",
"𧆸","tuī",
"陸","luk6",
"𰾕","jip6",
"𪱥","fan5",
"业","jip6",
"濕","sap1",
"䝎","teon1",
"𩄪","yīng",
"尳","gwat1",
"𫚢","jin2",
"𥟔","zè",
"䄎","qǐ",
"促","cuk1",
"䝢","maan6",
"釳","hat1",
"𠓮","lǐn",
"餞","zin3",
"𬇙","bui3",
"镤","pok3",
"𠆶","dàn",
"䳕","fú",
"𧷶","shàn",
"㣕","daai6",
"䀀","fàn",
"併","bing3",
"㓓","nán",
"㯾","zou1",
"𥲂","bīng",
"𱉝","gip3",
"鬞","nong4",
"𪔂","ding2",
"𪉏","méi",
"蘤","faa1",
"掳","lou5",
"鷬","wong4",
"牂","zong1",
"徹","cit3",
"鵇","nin4",
"讗","kwai4",
"㝹","nau4",
"融","jung4",
"㾴","zhā",
"报","bou3",
"𪕞","jùn",
"檠","king4",
"胔","zi3",
"庫","fu3",
"𨒄","yǎn",
"蔃","koeng2",
"詉","naau4",
"䅂","hé",
"㺦","lián",
"䏈","lyun4",
