hanzi,other_hanzi,relation
䵘,𬓸,simplified
䵳,𪑅,simplified
䵴,𫜙,simplified
䵶,𱌁,simplified
䵷,𱌃,simplified
䶏,涕,semantic
䶕,𫜨,simplified
䶗,𮯙,simplified
䶢,𬺍,simplified
䶣,𬺃,simplified
䶦,𬺉,simplified
䶧,𱌰,simplified
䶨,𱌵,simplified
䶪,𬺕,simplified
䶮,龑,traditional
䶱,𱍇,simplified
䶲,𫜳,simplified
䶾,𣢧,z-variant
一,弌,semantic
一,壹,semantic
七,柒,semantic
万,卍,semantic
万,萬,semantic
万,万,simplified
万,万,traditional
万,萬,traditional
三,叁,semantic
与,與,semantic
与,與,traditional
丐,匃,semantic
丑,丑,simplified
丑,丑,traditional
丑,醜,traditional
专,專,traditional
丘,㐀,semantic
丘,坵,semantic
业,業,traditional
丛,叢,traditional
东,東,semantic
东,東,traditional
丝,絲,traditional
丟,丢,semantic
丟,丢,simplified
両,兩,semantic
両,两,semantic
丢,丟,semantic
丢,丢,simplified
丢,丟,traditional
丢,丢,traditional
两,両,semantic
两,兩,semantic
两,两,simplified
两,两,traditional
两,兩,traditional
严,嚴,traditional
並,幷,semantic
並,并,semantic
並,竝,semantic
並,并,simplified
丧,喪,traditional
个,個,semantic
个,箇,semantic
个,个,simplified
个,个,traditional
个,個,traditional
丰,丰,simplified
丰,丰,traditional
丰,豐,traditional
临,臨,traditional
为,為,traditional
为,爲,traditional
丽,麗,traditional
举,舉,traditional
乃,迺,semantic
乃,廼,semantic
么,幺,semantic
么,么,simplified
么,么,traditional
么,幺,traditional
么,麼,traditional
么,麽,traditional
义,義,semantic
义,义,simplified
义,义,traditional
义,義,traditional
乌,烏,traditional
乐,乐,simplified
乐,乐,traditional
乐,樂,traditional
乔,喬,semantic
乔,乔,simplified
乔,乔,traditional
乔,喬,traditional
乚,隱,semantic
九,玖,semantic
习,習,traditional
乡,鄉,traditional
书,書,traditional
买,買,traditional
乱,亂,semantic
乱,乱,simplified
乱,乱,traditional
乱,亂,traditional
乹,乾,semantic
乾,乹,semantic
乾,亁,semantic
乾,乾,simplified
乾,干,simplified
乾,乾,traditional
亁,乾,semantic
亂,乱,semantic
亂,乱,simplified
了,了,simplified
了,𠄐,spoofing
了,了,traditional
了,瞭,traditional
予,余,semantic
争,爭,semantic
争,争,simplified
争,争,traditional
争,爭,traditional
亊,事,semantic
事,亊,semantic
二,弍,semantic
二,貳,semantic
二,𠄞,spoofing
二,𠄟,spoofing
二,𠄠,spoofing
于,扵,semantic
于,於,semantic
于,于,simplified
于,于,traditional
于,於,traditional
亏,於,semantic
亏,扵,semantic
亏,亏,simplified
亏,亏,traditional
亏,虧,traditional
云,云,simplified
云,云,traditional
云,雲,traditional
五,㐅,semantic
亗,岁,semantic
亗,歲,semantic
亗,𡻕,semantic
亚,亞,traditional
亝,齊,semantic
亞,亚,simplified
亡,兦,semantic
亡,亾,semantic
产,產,traditional
产,産,traditional
亩,畝,traditional
亲,榛,semantic
亲,親,traditional
亵,褻,traditional
亸,嚲,traditional
